Criterion Name,Audit Type,Criterion ID,Default Fix,Dimension,Failure Signals,How to verify?,Max Score,Operational Impact,Severity,Target,What is being checked?
Single semantic H1 on PDP,PDP,PDP-ME-H1-01,Ensure that the primary product title is rendered as a single semantic <h1> element and that no additional <h1> elements are used on the PDP.,Machine Extractability,"- Multiple <h1> elements are present on the page
- No <h1> element exists on the PDP
- The <h1> contains marketing copy instead of the product name
- The product name is rendered using a non-heading element",Inspect the DOM structure of the PDP and count the number of <h1> elements. Verify that exactly one <h1> is present and that it contains the product name.,10,"Without a single semantic product title, machines cannot reliably identify the product and agents may misinterpret the page context, reducing comparability and retrieval accuracy.",Medium,"Agent, Machine",Checks whether the PDP contains exactly one semantic <h1> element that represents the primary product title.
Price visible without interaction,PDP,PDP-DC-PRICE-01,"Ensure that the base product price is rendered as visible text on initial page load, independent of variant or size selection.",Decision Clarity,"- Price is only shown after selecting a size or variant
- Price is hidden behind disabled states or placeholders
- Price is injected only after user interaction
- Price is rendered as an image or non-text element","Load the PDP in a clean session. Verify whether a numeric price value is rendered in the DOM and visible to the user without interacting with variant selectors, dropdowns, or buttons.",10,"If the price is not immediately visible, users cannot evaluate affordability and agents cannot perform purchase validation. This introduces decision friction and increases abandonment risk.",High,"Agent, Human","Checks whether the product price is visible on the PDP without requiring any prior user interaction such as variant, size, or quantity selection."
Availability status rendered as text in DOM,PDP,PDP-SR-AVAIL-01,Render product availability status as explicit text in the DOM that can be parsed independently of visual styling or client-side logic.,System Robustness,"- Availability is only indicated via icons or color states
- Availability text is injected dynamically without a static fallback
- Availability is encoded only in aria labels or tooltips
- No textual availability information exists in the DOM","Inspect the PDP DOM and verify that availability information (e.g. in stock, out of stock) is present as visible or hidden text nodes and not solely conveyed via icons, colors, or images.",10,"If availability is not rendered as readable text, automated systems cannot determine purchase feasibility, preventing agents from executing or recommending transactions.",High,"Agent, Machine","Checks whether the product availability status is rendered as readable text in the DOM and is accessible without relying on images, icons, or client-side interpretation."
Primary CTA state is always explainable,PDP,PDP-DC-CTA-02,Ensure that any disabled or unavailable primary CTA state is paired with a visible textual explanation describing the blocking condition.,Decision Clarity,"- CTA is disabled without explanation
- CTA state changes without visible reason
- User must guess which condition is missing
- Explanation is only provided via tooltip or hover","Observe the primary CTA across all product states (e.g. unavailable, out of stock, variant not selected). Verify that any disabled or inactive state is accompanied by an explicit textual explanation.",10,"Unexplained CTA states block purchase progression by obscuring required conditions, leading to user confusion and preventing agents from resolving transaction blockers.",High,"Agent, Human",Checks whether the primary call-to-action on the PDP always communicates a clear and explicit reason when it is disabled or unavailable.
Core product attributes are presented as structured text,PDP,PDP-ME-ATTR-01,Render core product attributes as clearly labeled text elements using a consistent and structured format.,Machine Extractability,"- Attributes are only shown in images or icons
- Attributes are buried in long paragraph text
- Attribute labels are missing or ambiguous
- Attribute values change without label updates",Inspect the PDP content and DOM to confirm that key product attributes are present as distinct text nodes or list items and can be programmatically extracted without interpretation.,10,"Unstructured attributes limit machine readability and degrade filtering, matching, and recommendation quality for both search systems and agents.",High,"Agent, Machine","Checks whether core product attributes (e.g. material, dimensions, weight, color) are rendered as structured, readable text rather than embedded in images or unstructured prose."
Variant selection does not redefine product identity,PDP,PDP-SI-VAR-01,Ensure that variant selection only modifies defined attributes and does not alter the core semantic identity of the product.,Semantic Integrity,"- Product title changes to a different product concept
- Variant selection introduces conflicting descriptions
- Core attributes are reinterpreted per variant
- Variant behaves like a separate product without clarification","Switch between variants and observe changes to product title, description, and core attributes. Verify that variants adjust properties without changing the underlying product identity.",10,"If variant selection alters product identity, systems cannot reliably group or compare products, leading to semantic instability and flawed recommendations.",High,"Agent, Machine",Checks whether selecting a product variant modifies attributes without redefining the core product identity or semantic meaning.
Delivery time is explicit and state-specific,PDP,PDP-DC-DELIVERY-01,Display a concrete delivery time or delivery window on the PDP that updates according to product state and availability.,Decision Clarity,"- Delivery time is missing or vague (e.g. ""soon"", ""fast shipping"")
- Delivery information does not change with availability or variant state
- Delivery details are hidden behind interactions or links
- Delivery time is only communicated during checkout",Review the PDP and verify that delivery information is visible as text and reflects the current availability or variant state. Change variants or quantities and observe whether delivery information updates accordingly.,10,Missing or vague delivery information increases perceived purchase risk and prevents agents from optimizing for fulfillment constraints.,High,"Agent, Human",Checks whether a concrete delivery time or delivery window is explicitly communicated on the PDP and reflects the current product state.
Return conditions are visible before purchase,PDP,PDP-DC-RETURNS-01,Provide clear and consistent return information on the PDP that is accessible before purchase commitment.,Decision Clarity,"- No return information on the PDP
- Return conditions are hidden deep in legal pages
- Return messaging is ambiguous or contradictory
- Return conditions differ between PDP and checkout","Inspect the PDP and confirm that return conditions (e.g. return period, exclusions) are visible or directly accessible without entering checkout.",10,Absent return information elevates commitment risk and reduces purchase confidence while limiting agents' ability to evaluate transactional safety.,High,"Agent, Human",Checks whether return conditions are clearly communicated on the PDP before the user commits to a purchase.
Product claims are supported by concrete evidence,PDP,PDP-SI-CLAIMS-01,"Ensure that all significant product claims are supported by explicit, verifiable evidence presented near the claim.",Semantic Integrity,"- Claims without explanation or proof
- Vague or generic marketing statements
- Evidence exists but is disconnected from the claim
- Claims contradict structured product data",Identify product claims on the PDP and verify whether each claim is accompanied by supporting information or evidence that can be independently evaluated.,10,"Unsupported claims reduce trustworthiness and introduce verification uncertainty, weakening both human confidence and agent-based evaluation.",Medium,"Agent, Human","Checks whether key product claims are supported by concrete evidence such as specifications, certifications, or verifiable references."
Total price is determinable before checkout,PDP,PDP-DC-TOTAL-01,Provide a clear cost structure on the PDP that allows estimation of the total payable amount before checkout.,Decision Clarity,"- Shipping cost only revealed in checkout
- Mandatory fees appear late
- Pricing structure is unclear
- Cost ranges are excessively broad",Review the PDP and confirm whether all unavoidable costs can be understood prior to checkout without requiring account creation or address submission.,10,"If the total payable price cannot be estimated before checkout, users and agents cannot validate affordability, increasing purchase uncertainty and abandonment probability.",High,"Agent, Human","Checks whether the user can determine the total payable price before entering checkout, including mandatory costs such as shipping or required fees."
